word,lemma,frequency
taken,take,115236
safe,safe,114104
ma,ma,114026
book,book,113963
sent,send,113959
white,white,112881
hour,hour,112782
anybody,anybody,112582
small,small,112316
perfect,perfect,112229
'cause,'cause,112193
lives,life,110583
special,special,110344
parents,parent,110206
john,john,109966
himself,himself,109748
perhaps,perhaps,109240
sounds,sound,109140
serious,serious,108774
sick,sick,108596
company,company,108073
ha,ha,107974
scared,scared,107906
uncle,uncle,107826
poor,poor,107444
red,red,106589
past,past,106439
earth,earth,106394
possible,possible,106080
shoot,shoot,106067
touch,touch,105846
sound,sound,105298
top,top,105282
ass,ass,105009
laughs,laugh,104913
cannot,cannot,103913
asking,ask,102974
win,win,102956
glad,glad,102848
control,control,102782
hmm,hmm,102607
human,human,102595
drive,drive,102436
hair,hair,101852
jack,jack,101666
bitch,bitch,101302
luck,luck,101228
murder,murder,101133
happens,happen,100847
air,air,100137
ten,ten,100133
daddy,daddy,100005
finally,finally,99904
chuckles,chuckle,99607
fast,fast,99084
cold,cold,99032
seem,seem,98575
laughing,laugh,98420
words,word,98242
hospital,hospital,98076
street,street,98007
hang,hang,97778
dance,dance,97339
meeting,meeting,97328
till,till,97044
others,other,96631
catch,catch,96609
follow,follow,96529
sense,sense,96442
sex,sex,96431
lie,lie,95930
evening,evening,95321
master,master,95131
known,know,95125
dream,dream,95089
write,write,94964
million,million,94514
voice,voice,94104
sweet,sweet,94057
rather,rather,94057
felt,feel,93826
sign,sign,92512
lucky,lucky,92377
somewhere,somewhere,92265
bet,bet,91573
jesus,jesus,91143
longer,long,91035
calling,calling,90868
worked,work,90771
quiet,quiet,90552
looked,look,90441
less,less,90011
pull,pull,89880
beat,beat,89787
careful,careful,89667
coffee,coffee,89650
return,return,89451
secret,secret,89236
weeks,week,88925
weren,weren,88427
date,date,88407
seeing,see,88192
fall,fall,87762
given,give,87738
ooh,ooh,87683
fault,fault,87420
straight,straight,87378
takes,take,86959
song,song,86877
future,future,86832
gentlemen,gentleman,86660
loved,love,86138
changed,change,86133
road,road,85751
calm,calm,85638
wonderful,wonderful,85617
mad,mad,85366
turned,turn,85279
drop,drop,85186
ladies,lady,85029
learn,learn,84936
step,step,84882
absolutely,absolutely,84856
early,early,84836
explain,explain,84368
clean,clean,84238
piece,piece,84224
yesterday,yesterday,83823
throw,throw,83679
picture,picture,83461
land,land,83422
feet,foot,83295
wonder,wonder,82903
questions,question,82887
speaking,speak,82769
worth,worth,82559
darling,darling,82240
dude,dude,82190
giving,give,82085
president,president,81980
eye,eye,81953
quick,quick,81548
moving,move,81193
figure,figure,81048
state,state,80818
strong,strong,80501
sam,sam,80423
none,none,80315
amazing,amazing,80267
ones,one,79546
works,work,79323
act,act,79020
needed,need,78920
weird,weird,78317
law,law,78264
worried,worried,78083
report,report,77824
goodbye,goodbye,77514
missing,missing,77326
choice,choice,77197
happening,happen,77052
chief,chief,76951
wedding,wedding,76940
strange,strange,76863
general,general,76816
pain,pain,76799
'am,'am,76751
kidding,kid,76744
decided,decide,76683
ya,ya,76658
pass,pass,76635
tired,tired,76540
class,class,76489
officer,officer,76015
kept,keep,75930
wake,wake,75776
worse,bad,75595
busy,busy,75557
eh,eh,75178
mistake,mistake,74957
kiss,kiss,74790
court,court,74580
building,building,74492
finish,finish,74299
during,during,74298
age,age,74262
ship,ship,74224
caught,catch,74060
marry,marry,73938
meant,mean,73929
sell,sell,73802
dark,dark,73770
watching,watch,73700
system,system,73678
suppose,suppose,73465
evidence,evidence,73113
movie,movie,73070
ride,ride,73070
completely,completely,72777
mouth,mouth,72733
totally,totally,72478
birthday,birthday,72140
tv,tv,72054
forgive,forgive,71915
born,bear,71906
imagine,imagine,71873
information,information,71840
instead,instead,71571
definitely,definitely,71524
security,security,71503
certainly,certainly,71435
film,film,71407
month,month,71163
lying,lie,71098
unless,unless,70979
train,train,70974
seven,seven,70968
wear,wear,70955
clothes,clothes,70929
michael,michael,70741
hotel,hotel,70659
christmas,christmas,70624
attack,attack,70583
hasn,hasn,70449
round,round,70043
expect,expect,69614
sing,sing,69575
terrible,terrible,69499
george,george,69441
bag,bag,69186
